
"Pos.","Farnell Bestellnummer","Menge","Produktbeschreibung","Herstellerbez./ Hersteller","RoHS-Konformit&auml;t","Einzelpreis","Verfügbare Menge","Gesamtpreis","Hinweis zur Position"

"1","8767378","3","KONDENSATOR, 10UF, 50V","PANASONIC - ECA1HAM100X","YES ","0.119","Sofort lieferbar","0.36","amp proc"
"2","8767459","2","KONDENSATOR, 1000UF, 50V","PANASONIC - ECA1HAM102X","YES ","1.97","Sofort lieferbar","3.94","amp"

"3","669647","2","KONDENSATOR RADIAL 15PF 100V","AVX - MR051A150JTA","NO ","0.436","Sofort lieferbar","0.87","amp"
"4","1650960","2","CAPACITOR, AL ELECTROLYTIC","ILLINOIS CAPACITOR - 566KXM050M","YES ","0.124","Sofort lieferbar","0.25","amp"

"5","1744833","5","KONDENSATOR, FILM, 50V, 1UF","PANASONIC - ECQV1H105JL","YES ","0.371","Sofort lieferbar","1.86","amp"
"6","9475915","10","WIDERSTAND, 0.5W 5% 2R7","VISHAY SFERNICE - SFR16S-2R7-5","YES ","0.038","Sofort lieferbar","0.38","amp supp"

"7","9339779","10","WIDERSTAND, 0.5W 1% 1K","MULTICOMP - MF50 1K","YES ","0.054","Sofort lieferbar","0.54","amp"
"8","9340165","10","WIDERSTAND, 0.5W 1% 20K","MULTICOMP - MF50 20K","YES ","0.054","Sofort lieferbar","0.54","amp"

"9","9340009","10","WIDERSTAND, 0.5W 1% 15K","MULTICOMP - MF50 15K","YES ","0.054","Sofort lieferbar","0.54","amp"
"10","1744831","5","KONDENSATOR, FILM, 50V, 0.47UF","PANASONIC - ECQV1H474JL","YES ","0.189","Sofort lieferbar","0.95","proc"

"11","1166038","10","KONDENSATOR, 0.15UF, 63V","VISHAY BC COMPONENTS - BFC247076154","YES ","0.286","Sofort lieferbar","2.86","proc"
"12","1702663","2","KERAMIK MULTILAYER KONDENSATOR","KEMET - C322C562J1G5TA","Y-EX ","0.467","Sofort lieferbar","0.93","proc"
"13","1216438","10","KONDENSATOR RADIAL 100NF 63/50V","MULTICOMP - MCRR25104X7RK0050","YES ","0.211","Sofort lieferbar","2.11","amp supp"
"14","9338160","10","WIDERSTAND, 2W 5% 2K2","MULTICOMP - MCF 2W 2K2","YES ","0.149","Sofort lieferbar","1.49","supp"
"","","","","","","","",""
"","","","","","","","Warenwert:","17.62"
"","","","","","","","Gutschein:","0.0"
"","","","","","","","Versandkosten:","5.95"
"","","","","","","","Gesamt:","17.62"
"","","","","","","","MwSt.:","4.71"
"","","","","","","","Gesamt:","28.28"
